text,label
UDAY BHOJNALAY,shop_name
Sanjay Patel,person
9324908730,phone
Parlour,category_hint
Sector 24 Noida,address
Order Now,ignore
Maharaja Bhojnalay,shop_name
Sindhi Rasoi,shop_name
Sector 63,address
Sector 61,address
OM Bhojnalaya,shop_name
Balaji Shudh,shop_name
Shiv Medical Store,shop_name
Bharat Medical Store,shop_name
Sanjay,shop_name
mechanic,category_hint
electrician,category_hint
plumber,category_hint
laptop,category_hint
service,category_hint
service centre,category_hint
Money exchange,category_hint
jwellery,category_hint
clinic,category_hint
doctor,category_hint
Krishna General Store,shop_name
Rajesh Gupta,person
9876543210,phone
Bakery,category_hint
"Sector 18, Noida",address
Contact Us,ignore
Apollo Pharmacy,shop_name
Dr. Shalini,person
8527419630,phone
Hardware,category_hint
"Indirapuram, Ghaziabad",address
View Details,ignore
Super Auto Works,shop_name
Mechanic,category_hint
AC Repair,category_hint
"MG Road, Gurgaon",address
Sharma Sweets,shop_name
Amit Verma,person
7011223344,phone
Salon,category_hint
Kwality Sweets,shop_name
Rohan Das,person
9812345678,phone
Grocery,category_hint
"Vikas Nagar, Lucknow",address
Call for Quote,ignore
Mehta Electronics,shop_name
Mobile Repair,category_hint
"Chandni Chowk, Delhi",address
Heena Boutique,shop_name
Sunita Kapoor,person
8800554433,phone
Tailoring,category_hint
"Malviya Nagar, Jaipur",address
Pooja Clinic,shop_name
Dr. Arvind Rao,person
9123456789,phone
Health,category_hint
Get Appointment,ignore
Royal Furniture,shop_name
Wood Work,category_hint
"Sector 15, Chandigarh",address
Aggarwal Sweets,shop_name
Dairy Products,category_hint
"Sector 15, Noida",address
9988776655,phone
Order Online,ignore
"DLF Cyber City, Gurgaon",address
Moti Mahal Delux,shop_name
Fine Dining,category_hint
011-23456789,phone
"Connaught Place, Delhi",address
Lenskart,shop_name
Eyewear,category_hint
"Shipra Mall, Indirapuram",address
Book Now,ignore
Bikanervala,shop_name
Snacks & Sweets,category_hint
"Sector 18, Noida",address
8877665544,phone
Inquiry,ignore
"Hauz Khas Village, Delhi",address
Fabindia,shop_name
Ethnic Wear,category_hint
"Galleria Market, Gurgaon",address
Visit Store,ignore
Kailash Hospital,shop_name
Health Services,category_hint
"Sector 27, Noida",address
0120-2444444,phone
Emergency,ignore
"Ambiance Mall, Gurgaon",address
Big Bazaar,shop_name
Supermarket,category_hint
"Netaji Subhash Place, Delhi",address
Check Price,ignore
Apollo Tyres,shop_name
Automotive,category_hint
Faridabad NIT,address
7766554433,phone
Request Quote,ignore
"Greater Kailash, Delhi",address
Croma,shop_name
Electronics,category_hint
"Logix Mall, Noida",address
Buy Now,ignore
Fortis Hospital,shop_name
Medical,category_hint
"Sector 44, Gurgaon",address
9123456700,phone
Contact Details,ignore
"Khan Market, Delhi",address
Blue Tokai,shop_name
Coffee Shop,category_hint
"Saket, Delhi",address
7065432109,phone
Menu,ignore
Haldiram's,shop_name
Namkeen & Sweets,category_hint
"Chandni Chowk, Delhi",address
9911223344,phone
Location Map,ignore
"Sardar Market, Gurgaon",address
Reliance Digital,shop_name
Gadgets,category_hint
"Sector 62, Noida",address
8800112233,phone
Learn More,ignore
"Vasant Kunj, Delhi",address
PVR Cinemas,shop_name
Entertainment,category_hint
"Pacific Mall, Tagore Garden",address
Show Timings,ignore
Max Healthcare,shop_name
Hospital,category_hint
"Panchsheel Park, Delhi",address
9212345678,phone
Book Appointment,ignore
"Omaxe Mall, Gurgaon",address
Domino's Pizza,shop_name
Fast Food,category_hint
"Sector 110, Noida",address
1800-208-1234,phone
Feedback,ignore
"Shahpur Jat, Delhi",address
Wildcraft,shop_name
Outdoor Gear,category_hint
"Cyber Hub, Gurgaon",address
Check Availability,ignore
"Sarojini Nagar, Delhi",address
Archies Gallery,shop_name
Gifts,category_hint
"Sector 50, Noida",address
9898989898,phone
T&C Apply,ignore
"Rajouri Garden, Delhi",address
Decathlon,shop_name
Sports,category_hint
"Huda City Centre, Gurgaon",address
Add to Cart,ignore
Noida City Centre,address
Bata Store,shop_name
Footwear,category_hint
"Kamla Nagar, Delhi",address
8585858585,phone
Support,ignore
"Dwarka Sector 10, Delhi",address
Chaayos,shop_name
Tea Cafe,category_hint
Noida Expressway,address
9999000011,phone
Track Order,ignore
"Karol Bagh, Delhi",address
Raymond Shop,shop_name
Apparel,category_hint
"MG Road, Gurgaon",address
Exclusive Offer,ignore
"Mayur Vihar, Delhi",address
Pizza Hut,shop_name
Restaurant,category_hint
"Sector 12, Noida",address
7011998877,phone
More Info,ignore
"Lajpat Nagar, Delhi",address
Titan World,shop_name
Watches,category_hint
"Sohna Road, Gurgaon",address
Explore,ignore
"Preet Vihar, Delhi",address
Mother Dairy,shop_name
Milk & Dairy,category_hint
"Sector 21, Noida",address
011-22446688,phone
Help,ignore
"Janpath, Delhi",address
Crossword,shop_name
Books,category_hint
"DLF Mall of India, Noida",address
Subscribe,ignore
"Green Park, Delhi",address
Forest Essentials,shop_name
Cosmetics,category_hint
"Golf Course Road, Gurgaon",address
9811002233,phone
Review,ignore
"Pitampura, Delhi",address
PC Jeweller,shop_name
Jewellery,category_hint
"Sector 10, Noida",address
0120-3344556,phone
Download App,ignore
"Malviya Nagar, Delhi",address
Spencer's,shop_name
Retail,category_hint
Gurgaon Sector 14,address
8822334455,phone
Join Us,ignore
Noida Sector 93,address
Asian Paints,shop_name
Home Decor,category_hint
"Pahar Ganj, Delhi",address
Contact Agent,ignore
"MGF Metropolitan Mall, Gurgaon",address
Burger King,shop_name
Fast Food,category_hint
"Sector 51, Noida",address
7044556677,phone
Find Store,ignore
"Connaught Place, Delhi",address
Starbucks,shop_name
Cafe,category_hint
"Vasant Vihar, Delhi",address
9654321098,phone
Careers,ignore
"Safdarjung Enclave, Delhi",address
The Beer Cafe,shop_name
Pub,category_hint
"Sector 29, Gurgaon",address
Reserve Table,ignore
Indira Gandhi International Airport,address
Duty Free,shop_name
Shopping,category_hint
Delhi Airport T3,address
011-47197000,phone
FAQ,ignore
New Delhi Railway Station,address
IRCTC Canteen,shop_name
Catering,category_hint
Platform 1,address
139,phone
Guidelines,ignore
Noida Sector 16,address
Adobe Systems,shop_name
IT Services,category_hint
Noida Sector 135,address
0120-2444488,phone
Careers Portal,ignore
"Okhla Phase 3, Delhi",address
Zomato,shop_name
Technology,category_hint
"Ground Floor, Delhi",address
Help Center,ignore
Gurgaon Sector 48,address
Google India,shop_name
Tech Giant,category_hint
"Unitech Signature Towers, Gurgaon",address
0124-4512900,phone
Terms of Use,ignore
Gold's Gym,shop_name
Fitness & Wellness,category_hint
"Sector 43, Gurgaon",address
0124-4001122,phone
Join Membership,ignore
Amity University,shop_name
Higher Education,category_hint
"Sector 125, Noida",address
0120-2444444,phone
Apply Online,ignore
Evergreen Sweet House,shop_name
Mithai & Snacks,category_hint
"Green Park Market, Delhi",address
011-26514646,phone
View Menu,ignore
Batra Hospital,shop_name
Multispeciality Care,category_hint
"Mehrauli-Badarpur Road, Delhi",address
011-29958747,phone
Emergency 24x7,ignore
Select Citywalk,shop_name
Shopping Mall,category_hint
"Saket District Centre, Delhi",address
011-42114200,phone
Directions,ignore
Blue Dart Express,shop_name
Courier Services,category_hint
"Okhla Industrial Estate, Delhi",address
1860-233-1234,phone
Track Consignment,ignore
Khan Chacha,shop_name
Kebab & Rolls,category_hint
"Khan Market, Delhi",address
011-24633222,phone
Order Now,ignore
Step by Step School,shop_name
K-12 Education,category_hint
"Sector 132, Noida",address
0120-5087300,phone
Admissions,ignore
DLF Promenade,shop_name
Luxury Retail,category_hint
"Vasant Kunj, Delhi",address
011-46104466,phone
Store Locator,ignore
Modern Bazaar,shop_name
Gourmet Grocery,category_hint
"Cyber Hub, Gurgaon",address
0124-4261621,phone
Shop Online,ignore
Medanta - The Medicity,shop_name
Super Speciality Hospital,category_hint
"CH Baktawar Singh Road, Gurgaon",address
0124-4141414,phone
Book Appointment,ignore
HDFC Bank,shop_name
Banking Services,category_hint
"Kasturba Gandhi Marg, Delhi",address
1800-202-6161,phone
Locate ATM,ignore
Vikas Diagnostic Centre,shop_name
Pathology & Radiology,category_hint
"Shakti Nagar, Delhi",address
011-23841515,phone
Report Download,ignore
Tanishq Jewellery,shop_name
Gold & Diamonds,category_hint
"South Extension Part 1, Delhi",address
011-41646565,phone
Book Consultation,ignore
The Great India Place (GIP),shop_name
Entertainment Hub,category_hint
"Sector 38A, Noida",address
0120-4650000,phone
Movies & Fun,ignore
Mother's Pride,shop_name
Pre-school,category_hint
"Punjabi Bagh, Delhi",address
011-45041000,phone
Gallery,ignore
Saravana Bhavan,shop_name
South Indian Cuisine,category_hint
"Janpath, Delhi",address
011-23317755,phone
Waitlist,ignore
Gardens Galleria Mall,shop_name
Shopping & Nightlife,category_hint
"Sector 38, Noida",address
0120-4650400,phone
Events,ignore
Ardee Mall,shop_name
Retail Therapy,category_hint
"Sector 52, Gurgaon",address
0124-2806666,phone
Map,ignore
Dr. Lal PathLabs,shop_name
Diagnostic Chain,category_hint
"Eskay House, Hanuman Road, Delhi",address
011-39885050,phone
Home Collection,ignore
New Era Public School,shop_name
Co-educational School,category_hint
"Mayapuri, Delhi",address
011-28115611,phone
Contact School,ignore
Pacific Mall,shop_name
Family Shopping,category_hint
"Tagore Garden, Delhi",address
011-40903000,phone
Parking Info,ignore
The Oberoi,shop_name
Luxury Hotel,category_hint
"Dr. Zakir Hussain Marg, Delhi",address
011-24363030,phone
Reservations,ignore
DLF Emporio,shop_name
High-end Fashion,category_hint
"Vasant Kunj, Delhi",address
011-46116666,phone
Concierge,ignore
Moolchand Hospital,shop_name
Healthcare,category_hint
"Lajpat Nagar, Delhi",address
011-42000000,phone
Specialists,ignore
